applicationId,applicationName,applicationPublicId,"discoveredCountLicenseCritical","discoveredCountLicenseLow","discoveredCountLicenseModerate","discoveredCountLicenseSevere","discoveredCountOtherCritical",discoveredCountOtherLow,"discoveredCountOtherModerate","discoveredCountOtherSevere","discoveredCountQualityCritical","discoveredCountQualityLow","discoveredCountQualityModerate","discoveredCountQualitySevere","discoveredCountSecurityCritical","discoveredCountSecurityLow","discoveredCountSecurityModerate","discoveredCountSecuritySevere",evaluationCount,"fixedCountLicenseCritical",fixedCountLicenseLow,"fixedCountLicenseModerate",fixedCountLicenseSevere,fixedCountOtherCritical,fixedCountOtherLow,fixedCountOtherModerate,fixedCountOtherSevere,"fixedCountQualityCritical",fixedCountQualityLow,"fixedCountQualityModerate",fixedCountQualitySevere,"fixedCountSecurityCritical",fixedCountSecurityLow,"fixedCountSecurityModerate",fixedCountSecuritySevere,mttrCriticalThreat,mttrLowThreat,mttrModerateThreat,mttrSevereThreat,"openCountAtTimePeriodEndLicenseCritical","openCountAtTimePeriodEndLicenseLow","openCountAtTimePeriodEndLicenseModerate","openCountAtTimePeriodEndLicenseSevere","openCountAtTimePeriodEndOtherCritical","openCountAtTimePeriodEndOtherLow","openCountAtTimePeriodEndOtherModerate","openCountAtTimePeriodEndOtherSevere","openCountAtTimePeriodEndQualityCritical","openCountAtTimePeriodEndQualityLow","openCountAtTimePeriodEndQualityModerate","openCountAtTimePeriodEndQualitySevere","openCountAtTimePeriodEndSecurityCritical","openCountAtTimePeriodEndSecurityLow","openCountAtTimePeriodEndSecurityModerate","openCountAtTimePeriodEndSecuritySevere",organizationId,organizationName,timePeriodStart,"waivedCountLicenseCritical",waivedCountLicenseLow,"waivedCountLicenseModerate",waivedCountLicenseSevere,waivedCountOtherCritical,waivedCountOtherLow,waivedCountOtherModerate,waivedCountOtherSevere,"waivedCountQualityCritical",waivedCountQualityLow,"waivedCountQualityModerate",waivedCountQualitySevere,"waivedCountSecurityCritical",waivedCountSecurityLow,"waivedCountSecurityModerate","waivedCountSecuritySevere"
"00b730bd86c243a49115ed7cf7c36a8c",cx-bom-scan,cx-bom-scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00b730bd86c243a49115ed7cf7c36a8c",cx-bom-scan,cx-bom-scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00b730bd86c243a49115ed7cf7c36a8c",cx-bom-scan,cx-bom-scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00b730bd86c243a49115ed7cf7c36a8c",cx-bom-scan,cx-bom-scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56938dd030824924aa6042e72e1a9082",php-app,php-app,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,2658721,,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,"53a212ecf5db45ad9278667f0503b951",Auto,2020-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56938dd030824924aa6042e72e1a9082",php-app,php-app,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,161550845,,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56938dd030824924aa6042e72e1a9082",php-app,php-app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56938dd030824924aa6042e72e1a9082",php-app,php-app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56938dd030824924aa6042e72e1a9082",php-app,php-app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56938dd030824924aa6042e72e1a9082",php-app,php-app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56938dd030824924aa6042e72e1a9082",php-app,php-app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56938dd030824924aa6042e72e1a9082",php-app,php-app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56938dd030824924aa6042e72e1a9082",php-app,php-app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,"53a212ecf5db45ad9278667f0503b951",Auto,2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b47a2533598f48d892348f56284d1192",webgoat-legacy-ci,webgoat-legacy-ci,0,0,0,0,0,1,71,0,0,72,0,0,20,0,4,36,19,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,116843490,,2400961,,0,0,0,0,0,1,1,0,0,72,0,0,18,0,4,36,"6d7b5653bcf94bda95ba3bd61167d904",Webgoat,2020-04-20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"b47a2533598f48d892348f56284d1192",webgoat-legacy-ci,webgoat-legacy-ci,0,0,0,0,0,2,72,0,0,144,0,0,40,0,8,72,20,0,0,0,0,0,1,71,0,0,72,0,0,18,0,4,36,477626157,517713120,34543699,517713120,0,0,0,0,0,2,2,0,0,144,0,0,38,0,8,72,"6d7b5653bcf94bda95ba3bd61167d904",Webgoat,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"b47a2533598f48d892348f56284d1192",webgoat-legacy-ci,webgoat-legacy-ci,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,597039951,,0,0,0,0,0,2,2,0,0,145,0,0,38,0,8,72,"6d7b5653bcf94bda95ba3bd61167d904",Webgoat,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b47a2533598f48d892348f56284d1192",webgoat-legacy-ci,webgoat-legacy-ci,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,691999084,,0,0,0,0,0,2,2,0,0,145,0,0,38,0,8,73,"6d7b5653bcf94bda95ba3bd61167d904",Webgoat,2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b47a2533598f48d892348f56284d1192",webgoat-legacy-ci,webgoat-legacy-ci,0,0,0,0,0,1,1,0,0,73,0,0,20,0,4,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,3,3,0,0,218,0,0,58,0,12,111,"6d7b5653bcf94bda95ba3bd61167d904",Webgoat,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b47a2533598f48d892348f56284d1192",webgoat-legacy-ci,webgoat-legacy-ci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,3,3,0,0,218,0,0,58,0,12,111,"6d7b5653bcf94bda95ba3bd61167d904",Webgoat,2020-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
